Date,CRIME_COUNT
2010-09-13,997
2010-09-14,1069
2010-09-17,1126
2014-04-17,836
2013-12-23,680
2014-01-23,625
2014-02-06,611
2014-02-17,598
2015-09-16,766
2013-12-18,763
2011-01-01,1558
2015-11-29,612
2015-10-20,785
2015-11-13,679
2019-06-16,721
2010-12-22,884
2011-05-18,955
2011-03-17,1077
2011-04-09,948
2014-04-08,748
2014-06-17,889
2014-10-16,746
2016-02-08,570
2016-02-24,578
2016-03-23,686
2016-07-21,785
2016-08-25,770
2011-07-05,1146
2011-08-11,1053
2011-08-26,1050
2014-12-16,660
2014-12-23,674
2014-10-10,741
2020-12-16,526
2019-12-03,690
2020-12-13,549
2019-09-18,756
2019-09-22,656
2015-02-06,696
2015-02-15,552
2015-02-17,597
2016-05-23,782
2016-06-15,790
2017-02-12,678
2016-10-03,772
2016-11-05,821
2016-11-30,697
2016-12-08,606
2019-06-24,810
2009-02-03,955
2011-12-29,864
2011-09-29,987
2012-05-11,998
2011-12-26,713
2012-02-10,775
2012-02-22,897
2015-02-25,572
2019-07-23,787
2020-12-22,579
2019-12-26,609
2020-05-12,455
2020-01-15,653
2016-04-10,704
2016-12-11,512
2017-02-21,679
2017-04-17,752
2017-05-01,863
2017-05-09,707
2019-10-17,676
2017-06-04,820
2017-06-12,742
2009-04-07,1101
2009-04-09,1113
2009-05-07,1208
2014-12-22,647
2016-09-23,845
2012-03-13,926
2012-03-25,885
2012-05-26,911
2012-06-10,1008
2015-04-22,682
2020-02-18,668
2020-02-14,586
2020-06-18,601
2020-07-03,687
2019-01-04,769
2020-10-11,653
2021-01-10,558
2021-01-25,539
2009-05-17,1014
2009-05-19,1172
2009-08-05,1206
2009-08-09,1178
2009-09-21,1090
2012-08-06,962
2012-10-03,920
2012-09-01,1182
2013-02-23,697
2017-07-12,691
2017-07-08,759
2017-07-23,842
2017-08-19,892
2017-09-10,739
2017-07-20,761
2017-10-11,617
2015-05-07,826
2020-11-29,531
2021-03-31,489
2021-04-01,611
2015-06-02,772
2009-06-08,1165
2009-07-30,1148
2019-06-29,864
2009-10-30,1181
2009-09-17,1146
2013-05-13,895
2013-06-07,878
2018-03-15,691
2018-04-17,699
2017-11-20,762
2017-12-15,768
2017-12-31,541
2018-08-17,810
2018-08-28,802
2014-05-12,813
2021-07-16,606
2021-08-04,584
2021-08-23,627
2021-08-30,612
2020-12-15,575
2010-02-09,797
2010-02-15,828
2010-02-22,831
2010-02-23,970
2010-02-11,851
2010-03-16,1115
2010-03-23,1118
2010-03-25,1078
2010-05-14,1213
2013-07-07,903
2013-04-15,843
2013-04-16,862
2013-04-21,773
2013-04-07,797
2013-11-13,826
2013-11-26,831
2013-08-31,816
2013-10-04,874
2019-10-21,712
2018-07-02,860
2019-01-17,653
2019-01-25,586
2018-10-26,829
2018-10-27,788
2021-11-18,573
2021-12-06,553
2021-11-17,530
2010-08-29,1129
2010-05-25,1108
2010-06-10,1232
2010-06-11,1160
2010-06-25,1155
2010-06-27,1107
2010-06-29,1106
2010-07-01,1260
2010-10-10,1095
2010-10-22,1068
2018-11-21,741
2019-02-15,741
2019-04-08,744
2010-09-19,1039
2010-10-04,985
2011-01-10,918
2010-11-06,936
2010-05-01,1207
2010-11-29,917
2010-12-12,670
2010-12-19,751
2013-10-09,881
2014-03-27,719
2014-04-12,872
2014-05-02,865
2014-05-04,721
2014-02-04,645
2015-09-07,808
2015-11-01,996
2015-07-27,835
2015-07-28,767
2015-08-29,761
2015-07-08,718
2010-12-26,612
2011-04-18,905
2011-05-11,1111
2011-09-14,983
2014-08-20,834
2014-08-21,778
2015-05-08,807
2016-01-09,650
2016-03-06,714
2016-03-12,746
2016-07-17,789
2011-09-15,963
2011-09-16,1064
2011-06-27,1000
2011-07-24,1001
2011-07-28,1090
2011-08-09,997
2011-08-29,1034
2014-10-07,759
2020-12-18,563
2019-08-31,775
2016-04-15,811
2016-10-21,760
2016-11-23,699
2009-02-01,1000
2009-02-05,1029
2013-07-21,929
2011-10-09,1003
2012-04-10,844
2012-04-21,876
2012-05-07,973
2012-05-14,1004
2012-02-24,784
2015-02-26,518
2019-08-19,787
2019-11-27,637
2019-06-17,752
2020-09-16,618
2019-10-05,723
2020-02-05,632
2009-04-20,1085
2016-12-16,695
2016-12-24,604
2017-04-06,668
2017-05-18,775
2017-05-25,763
2017-06-27,772
2017-02-14,713
2009-03-20,1185
2009-04-11,1075
2009-04-24,1240
2009-05-02,1058
2012-03-03,781
2012-05-27,927
2013-12-05,764
2012-07-14,1054
2015-06-20,766
2020-07-15,607
2020-10-04,583
2020-10-14,651
2020-08-06,604
2020-10-22,606
2020-10-20,555
2009-08-06,1151
2009-08-17,1150
2009-08-31,1029
2009-09-03,1125
2009-09-05,1067
2009-09-11,1285
2009-07-07,1199
2020-04-05,406
2017-05-07,630
2012-08-01,1108
2012-09-29,970
2017-10-26,754
2017-08-27,756
